,0,1
0,worst,1
1,no,5
2,service,1
3,substantial,1
4,delivery,6
5,week,1
6,we,46
7,always,3
8,in,13
9,confirmation,1
10,have,18
11,update,2
12,tracking,5
13,fancy,1
14,already,1
15,don,5
16,look,7
17,pass,2
18,details,6
19,https,44
20,co,45
21,lil,1
22,sounds,1
23,like,7
24,know,13
25,playlist,1
26,this,27
27,year,2
28,bv,2
29,d,7
30,help,9
31,when,5
32,connect,1
33,us,28
34,matt,1
35,friendshipgoals,1
36,oh,1
37,i,23
38,out,6
39,into,6
40,options,3
41,hear,4
42,as,4
43,let,7
44,doesn,5
45,arrive,6
46,tomorrow,2
47,an,8
48,ar,3
49,apologies,2
50,incorrect,1
51,item,5
52,using,2
53,above,2
54,do,4
55,further,5
56,concerns,1
57,ca,1
58,thanks,11
59,shout,1
60,looking,2
61,improve,1
62,share,1
63,specific,1
64,feedback,7
65,via,4
66,form,1
67,sj,6
68,delay,1
69,indicate,1
70,new,3
71,check,1
72,updates,3
73,amazon,7
74,is,13
75,est,1
76,at,6
77,checkout,1
78,late,2
79,cyqkduakwj,2
80,af,2
81,s,7
82,now,3
83,identify,1
84,flagging,1
85,reviewed,1
86,earliest,1
87,account,2
88,but,3
89,refund,2
90,en,3
91,was,5
92,sent,1
93,fulfilled,1
94,third,2
95,site,3
96,doug,1
97,returns,1
98,items,1
99,online,1
100,more,3
101,seeing,1
102,advise,1
103,there,2
104,getting,2
105,below,1
106,pk,1
107,truly,2
108,only,1
109,able,3
110,end,1
111,of,3
112,enjoying,2
113,collection,1
114,keeps,1
115,binge,1
116,watch,1
117,feel,4
118,athena,1
119,rather,2
120,delivering,2
121,things,1
122,than,1
123,cold,1
124,medicine,1
125,am,1
126,customer,2
127,sr,5
128,card,2
129,typically,3
130,process,1
131,business,2
132,days,1
133,requested,2
134,ve,2
135,connecting,1
136,leave,3
137,way,2
138,ab,1
139,waiting,1
140,carriers,1
141,until,2
142,shipment,1
143,transit,1
144,destination,1
145,edd,1
146,promised,1
147,inconvenience,2
148,caused,1
149,alerts,2
150,forwarded,1
151,relevant,1
152,department,2
153,jj,1
154,trouble,3
155,tried,1
156,unlinking,1
157,linking,1
